"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Placement,"Conversion device",Platform,Day,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,iphone,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Free Shipping Ad",120247312851620327,Feed,0,instagram,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,iphone,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,"Instagram Stories",0,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,"Instagram Stories",iphone,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 6 - Founders Letter",120247312792480327,"Letter 3",120247312792560327,Feed,0,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,0,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,android_tablet,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,iphone,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,Feed,desktop,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,iphone,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,"Facebook Reels",0,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,ipad,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",iphone,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,ipad,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",0,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Instagram Stories",android_smartphone,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Marketplace,0,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Marketplace,iphone,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Search results",0,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,"Search results",iphone,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,Feed,android_smartphone,facebook,2026-06-24,not_delivering,ad,,,,Incremental,,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,android_smartphone,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,iphone,facebook,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,0,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 2 - Best Gift",120247312792440327,"1 Print Static",120247312792570327,Feed,android_smartphone,instagram,2026-06-24,not_delivering,ad,,,,"7-day click, 1-day view, or 1-day engaged-view",,,,,2026-06-18,Ongoing,2026-06-24,2026-06-24
